Row Names,instance_auroc,full_pixel_auroc,anomaly_pixel_auroc
mvtec_bottle,1.0,0.9840516830962164,0.9785081365982847
mvtec_cable,0.9936281859070465,0.9840993606874546,0.9749912654359827
mvtec_capsule,0.9700837654567211,0.9891021380118853,0.9869089858127781
mvtec_carpet,0.9546548956661316,0.9877094322034843,0.9853084269062726
mvtec_grid,0.9816207184628237,0.9854232051432843,0.9808315370310411
mvtec_hazelnut,1.0,0.9866445483253428,0.9789622930661886
mvtec_leather,1.0,0.9924128243059445,0.9897496154765426
mvtec_metal_nut,0.9990224828934506,0.9855825694407903,0.9820812690240266
mvtec_pill,0.9634478996181124,0.9759119428159713,0.9738466723034784
mvtec_screw,0.9842180774748924,0.994975712951037,0.993517913844495
mvtec_tile,0.9938672438672439,0.9610776798418245,0.9462554369772794
mvtec_toothbrush,1.0,0.986208328571568,0.9806554331399174
mvtec_transistor,0.9987499999999999,0.9512313520094552,0.9179432120487223
mvtec_wood,0.9929824561403509,0.955524644288202,0.9432390175046221
mvtec_zipper,0.9963235294117647,0.9895879728104254,0.9867782312093137
Mean,0.9885732836599026,0.9806362263001923,0.9733051630919297
