Row Names,instance_auroc,full_pixel_auroc,anomaly_pixel_auroc
mvtec_bottle,1.0,0.9734878284662312,0.9642187480290326
mvtec_cable,0.9970014992503748,0.9708772956237632,0.9531328654629951
mvtec_capsule,0.9178300757877942,0.9743222916152147,0.9692421013052769
mvtec_carpet,0.9815409309791332,0.9878248874751921,0.9841279637572149
mvtec_grid,0.837092731829574,0.8915197989162482,0.8819323000909881
mvtec_hazelnut,0.9921428571428571,0.984633672867557,0.9766303031246831
mvtec_leather,1.0,0.9878822371030681,0.9836287245941074
mvtec_metal_nut,0.9887585532746823,0.9822781170226778,0.9778270017392211
mvtec_pill,0.9304418985270049,0.9657014146359658,0.9614805895709941
mvtec_screw,0.8022135683541709,0.8026736597247627,0.7873681880792881
mvtec_tile,0.9862914862914863,0.958786472361413,0.9416704362717861
mvtec_toothbrush,0.9833333333333333,0.9785460586922737,0.9702932455164718
mvtec_transistor,0.9958333333333333,0.9830747063556734,0.9587810151433426
mvtec_wood,0.9140350877192982,0.900267360873809,0.882448682505428
mvtec_zipper,0.9881827731092437,0.9379696560413946,0.9221986530496201
Mean,0.9543132085954859,0.9519896971850162,0.94099872121603
