Row Names,instance_auroc,instance_prauc,instance_mcc,full_pixel_auroc,full_pixel_prauc,full_pixel_mcc,full_pixel_pro,anomaly_pixel_auroc,anomaly_pixel_prauc,anomaly_pixel_mcc,anomaly_pixel_pro
mvtec_bottle,1.0,0.9999999999999998,1.0,0.9865895414588656,0.8408855851594228,0.8730301158740549,0.6823462907167893,0.9818954503078601,0.8408954836974105,0.8695385812517014,0.5815038433252939
mvtec_cable,0.9821964017991004,0.98893438508858,0.9253831058499515,0.9782308819280227,0.735544663161905,0.8270597968990332,0.6265512679268332,0.9688484861623093,0.7404382224578626,0.8232267159450191,0.43496395479201516
mvtec_capsule,0.9804547267650578,0.9955268460702498,0.9325169802621661,0.991868584836321,0.53601589176339,0.7855158015748782,0.3626569828559424,0.9902337182472627,0.5361694661074065,0.7849602990733238,0.22817175905490275
mvtec_carpet,0.9353932584269662,0.9801249999461623,0.8245848407403908,0.9878002641449894,0.7321870181596456,0.8452565139640507,0.5272437142563292,0.9862115472980381,0.7346319227428677,0.8442897521457939,0.37851139964034314
mvtec_grid,0.9741019214703425,0.9899685032972803,0.9506282883828974,0.9628918957831468,0.1598651631753551,0.6154860469313795,0.41431813061387385,0.9587216500322435,0.1768227201406844,0.6380419183265984,0.24552900230655347
mvtec_hazelnut,1.0,0.9999999999999998,1.0,0.9878434085772895,0.5739945544639175,0.8292672533699426,0.6051217990548992,0.9810873745724418,0.5743314878233761,0.8261743002677573,0.37947711280055585
mvtec_leather,0.9928668478260869,0.997628936720369,0.9688308753050999,0.9932896249847588,0.5409867553460361,0.7652428318254164,0.4164232587057523,0.9910107591797469,0.5410914876473221,0.7645233829165843,0.21344004434253566
mvtec_metal_nut,0.9965786901270772,0.9992033259969878,0.9573422480136531,0.9910311783922389,0.956201619213646,0.9272697764691318,0.6344902318848344,0.9888592050826869,0.9567548913697281,0.9241109093382986,0.5480255555565158
mvtec_pill,0.9680851063829786,0.9943878347489833,0.8828511007098402,0.9755077139557198,0.8077792885548197,0.86363932230895,0.43497475798675667,0.9735912240170875,0.809886417736151,0.8628274688919497,0.35014066376777186
mvtec_screw,0.8905513424882149,0.959348652182511,0.7976980271287148,0.9747496580835567,0.3208402351154597,0.6726680812604617,0.344300646222961,0.9717602006754139,0.32375475654103214,0.6724087359476976,0.1267907848375945
mvtec_tile,0.9873737373737373,0.9962262876109882,0.9796895254394519,0.966629014149398,0.6380040013786995,0.836686740743138,0.6514594329739783,0.9528945614418342,0.6382992571958978,0.8298612780010528,0.5145327816423271
mvtec_toothbrush,1.0,0.9999999999999999,1.0,0.9895945837946213,0.5425017016452709,0.7997391442640662,0.4333061371686412,0.9854058510860457,0.5425461700637578,0.7981782180066421,0.2066285920360977
mvtec_transistor,1.0,1.0,1.0,0.9593518501743312,0.7148671333868167,0.8279510773132067,0.40103332214261606,0.9296321876851347,0.7338188419629025,0.816025429232662,0.34221515097525823
mvtec_wood,0.9464912280701754,0.9833186452187207,0.8573639298084984,0.9256312225586038,0.5603095389482514,0.7572578850502218,0.44273558294655924,0.9164598405534978,0.5683225607696385,0.7548289167061774,0.3162685175463028
mvtec_zipper,0.9997373949579832,0.9999296777534541,0.9900706794262776,0.9915515443587237,0.7944780988410297,0.863400946165596,0.640002524858871,0.989339323508111,0.7945417840312585,0.8624740903649994,0.5431964811234418
Mean,0.9769220437125146,0.9923065396422857,0.9377973067377963,0.9775040644787057,0.6302974165542443,0.805964755600902,0.5077976053543758,0.9710634253233142,0.6341536980191531,0.8047646664277505,0.36062637624983396
