Row Names,instance_auroc,instance_prauc,instance_mcc,full_pixel_auroc,full_pixel_prauc,full_pixel_mcc,full_pixel_pro,anomaly_pixel_auroc,anomaly_pixel_prauc,anomaly_pixel_mcc,anomaly_pixel_pro
mvtec_bottle,1.0,0.9999999999999998,1.0,0.9861476672079442,0.8071176902542401,0.8741779948968422,0.6707018112269104,0.9813036490535627,0.8071330031665804,0.8706774631163384,0.5661627036798978
mvtec_cable,0.9773238380809595,0.9862019782222835,0.9225223645353253,0.9797839001802893,0.7101493455368443,0.818926172912673,0.5953740381949035,0.9706407920341853,0.7149064451703414,0.8148629946214736,0.4055011492308207
mvtec_capsule,0.9832469086557638,0.9962802604942145,0.9599655671692898,0.9915656447430169,0.5189318392194209,0.7810020456129567,0.39739191356552883,0.9898344706473426,0.5190699609786519,0.7804100633716763,0.270236078813301
mvtec_carpet,0.9558587479935794,0.9866785004550435,0.8763289621247503,0.9888596995367881,0.6435079598677347,0.8326131397096384,0.5286724994762766,0.9870035806266317,0.646218741745482,0.8315782506431789,0.41409755549128513
mvtec_grid,0.9707602339181287,0.9902667655337898,0.9506282883828974,0.9736789908505158,0.2597373279226754,0.6343187820550906,0.3764209665301654,0.9705836489383914,0.273979622235029,0.6690014777236883,0.2705069597127728
mvtec_hazelnut,0.9996428571428572,0.9997973555619428,0.9902212780045871,0.9865887643240899,0.5632702804115585,0.8007771622495811,0.6031461770620555,0.9789239257428738,0.5636257352078151,0.7972917128260486,0.3763725639546583
mvtec_leather,0.9891304347826088,0.9966623223258801,0.9574271660513305,0.9924466707468446,0.4981033369923877,0.7397963974075157,0.41045969668460336,0.9899884348600559,0.49833534196480384,0.7390731880624271,0.20540219987924785
mvtec_metal_nut,1.0,1.0,1.0,0.9933980689956222,0.9635419631329903,0.9378822039808814,0.6803446557021847,0.9917177645210749,0.9639209040884655,0.9351553240994086,0.6047272624274325
mvtec_pill,0.9806328423349701,0.9966079439993715,0.8991872662483997,0.9825289563662226,0.8143111362857317,0.8681161844796628,0.43302112051884367,0.9807796408916866,0.8159694622548792,0.867245072350938,0.3495959800056391
mvtec_screw,0.959007993441279,0.985143357556154,0.900788182685538,0.9944986842170606,0.4277580384931302,0.7257120029416259,0.4111093826538938,0.9930521737125365,0.4286895951379225,0.7254239403177517,0.20821429600523556
mvtec_tile,0.9891774891774893,0.9968533058309488,0.9896513079338648,0.9717336318860414,0.6478779581610428,0.8440995648645903,0.6498604154051215,0.9600510049479756,0.6480837623008219,0.837840410732398,0.5123055785999908
mvtec_toothbrush,1.0,0.9999999999999999,1.0,0.9881417282996889,0.476451489604438,0.7837196927590215,0.4133528679904958,0.9833706027104668,0.4765318543842885,0.7820150284992908,0.17869401518669414
mvtec_transistor,1.0,1.0,1.0,0.9490486040074537,0.6766326109336861,0.8072894449590782,0.3551701626529256,0.9177151194108835,0.7052690353029136,0.7940073601361477,0.30011326413444217
mvtec_wood,0.9921052631578948,0.9978101023017903,0.9832614889132659,0.9513371523106962,0.5553267868718692,0.7652989271464326,0.5179921338743583,0.9406854045567455,0.55791160132548,0.7616971971852042,0.365356309601238
mvtec_zipper,0.9992121848739496,0.9997896070172173,0.9801052312335821,0.9925313953263709,0.7622467319112567,0.8626538771731858,0.6410063118686148,0.9905390571885176,0.7622986451743448,0.8616972780095349,0.5444701940517719
Mean,0.9864065862372987,0.9954727666199089,0.9606724735521887,0.9814859705999095,0.6216642997066004,0.8050922395432516,0.5122682768937922,0.9750792846561954,0.625462914029188,0.8045317841130336,0.37145040738496177
