Row Names,instance_auroc,full_pixel_auroc,anomaly_pixel_auroc
mvtec_bottle,0.9674603174603175,0.8991952577489325,0.8717036661400314
mvtec_cable,0.7410044977511245,0.8808141129376956,0.8633056265062363
mvtec_capsule,0.686477861986438,0.9187094336661411,0.9121757425236374
mvtec_carpet,0.3643659711075441,0.8147195509333799,0.8266752276097024
mvtec_grid,0.7878028404344194,0.6787981300778535,0.6321654532236685
mvtec_hazelnut,0.8035714285714286,0.9408401530585133,0.9129527772541034
mvtec_leather,0.8189538043478262,0.9326860522910038,0.9166649948965123
mvtec_metal_nut,0.5615835777126099,0.8775497937730071,0.8777042413190157
mvtec_pill,0.7819148936170212,0.8959324879117951,0.8868931682849281
mvtec_screw,0.07767985242877638,0.6871796313780426,0.7522052339207088
mvtec_tile,0.9577922077922079,0.8872469699548927,0.858657153654316
mvtec_toothbrush,0.9972222222222222,0.911831109792016,0.8787306652884569
mvtec_transistor,0.7520833333333334,0.9442465861692768,0.9142676875141814
mvtec_wood,0.8789473684210527,0.7956374180896488,0.7594492800441996
mvtec_zipper,0.8047531512605042,0.7550734143404803,0.7268625085482034
Mean,0.7321075552297883,0.8546973401415119,0.8393608951151934
