Row Names,instance_auroc,full_pixel_auroc,anomaly_pixel_auroc
mvtec_bottle,1.0,0.9845819377126809,0.9792006522105098
mvtec_cable,0.9866941529235382,0.9825403718049264,0.9732616591360375
mvtec_capsule,0.9652971679297966,0.9894440675946702,0.9873244027282445
mvtec_carpet,0.9923756019261637,0.9890152556654301,0.9856540000897407
mvtec_grid,0.9849624060150376,0.9802850942662464,0.9733583384489821
mvtec_hazelnut,1.0,0.9858769237335682,0.977847827104041
mvtec_leather,1.0,0.9900258933031343,0.9865248355615631
mvtec_metal_nut,0.9995112414467253,0.9863897500407889,0.9830376343033252
mvtec_pill,0.9228041462084016,0.9753215944727405,0.9733411095431242
mvtec_screw,0.9727403156384504,0.9938864381942831,0.9921764486413467
mvtec_tile,0.9902597402597403,0.9557595711442034,0.9380198211740355
mvtec_toothbrush,1.0,0.9874655465666651,0.9823836315725503
mvtec_transistor,0.9979166666666667,0.9665574943560703,0.9339506705931692
mvtec_wood,0.9947368421052631,0.934767634203302,0.9167571277837884
mvtec_zipper,0.9881827731092436,0.9838535533547346,0.9795115214201654
Mean,0.9863654036152685,0.9790514084275629,0.9708233120207084
