Row Names,instance_auroc,full_pixel_auroc,anomaly_pixel_auroc
mvtec_bottle,0.9968253968253968,0.9795537289884665,0.972444992860531
mvtec_cable,0.9651424287856072,0.9688899048578731,0.9529194236876404
mvtec_capsule,0.8468288791384124,0.9694436777271117,0.9642632250278789
mvtec_carpet,0.8146067415730337,0.953391623692498,0.9527936237293982
mvtec_grid,0.7368421052631579,0.8250777527064332,0.819797611953453
mvtec_hazelnut,0.9814285714285714,0.9791681552225052,0.9682841050703825
mvtec_leather,0.9864130434782609,0.9854695452500396,0.9804468786963568
mvtec_metal_nut,0.9643206256109482,0.9854476489913793,0.9822983481963291
mvtec_pill,0.8993453355155483,0.9780577378418075,0.9753316009615918
mvtec_screw,0.6886657101865137,0.8444563502680034,0.8340986346234607
mvtec_tile,0.9805194805194806,0.9239567946186342,0.8927434451200799
mvtec_toothbrush,0.9944444444444445,0.9831015000955186,0.9766149916166684
mvtec_transistor,0.9804166666666667,0.9812563712811,0.9566472276262288
mvtec_wood,0.9631578947368421,0.9158736996884891,0.8940789957579953
mvtec_zipper,0.9789915966386554,0.9446389882684689,0.9320226527416083
Mean,0.9185299280541027,0.9478522319665553,0.9369857171779737
