Row Names,instance_auroc,full_pixel_auroc,anomaly_pixel_auroc
mvtec_bottle,0.9984126984126984,0.9842276290661792,0.978724801076041
mvtec_cable,0.8360194902548724,0.963173487772619,0.9520073552215044
mvtec_capsule,0.8787395293179098,0.9790240220859435,0.9751901346215512
mvtec_carpet,0.8840288924558587,0.9873554171082608,0.9855545781261421
mvtec_grid,0.835421888053467,0.8780846779391838,0.8645807109000916
mvtec_hazelnut,0.9975,0.9828022831867353,0.9736302384164811
mvtec_leather,0.9996603260869565,0.991424717996679,0.9884305156294609
mvtec_metal_nut,0.978494623655914,0.9842551625907608,0.9805958708995072
mvtec_pill,0.9252591380250955,0.9742057733738131,0.9717129867904496
mvtec_screw,0.15044066407050627,0.7880170738709132,0.8377263920603367
mvtec_tile,0.9816017316017316,0.9675538396041834,0.9568929514064262
mvtec_toothbrush,1.0,0.9829858191800126,0.9762976761485039
mvtec_transistor,0.9704166666666667,0.9743912418179215,0.9502273223683675
mvtec_wood,0.9421052631578948,0.9295722787473819,0.9186991000361366
mvtec_zipper,0.9406512605042017,0.9238096109139591,0.9106476329780958
Mean,0.8879168114842516,0.9527255356836364,0.9480612177786063
