Row Names,instance_auroc,full_pixel_auroc,anomaly_pixel_auroc
mvtec_bottle,1.0,0.9752183423099521,0.966553923141145
mvtec_cable,0.9955022488755622,0.9735379917506434,0.9573838781893885
mvtec_capsule,0.9297965696051058,0.976621949561004,0.9720034550528194
mvtec_carpet,0.9859550561797753,0.9884226629984936,0.9848838272320525
mvtec_grid,0.8462823725981621,0.902727250608508,0.8930396608816304
mvtec_hazelnut,0.99,0.9847786416883172,0.9767549533795424
mvtec_leather,1.0,0.9887745024952049,0.9848341882258076
mvtec_metal_nut,0.9926686217008798,0.9835488318186566,0.9793863193396987
mvtec_pill,0.9399890889252591,0.9670300613491701,0.9631370400268282
mvtec_screw,0.7917606066816971,0.8198357781091071,0.8063017570547932
mvtec_tile,0.987012987012987,0.9591878655567203,0.9423924436769651
mvtec_toothbrush,0.9972222222222222,0.9809666428433189,0.9737421209291451
mvtec_transistor,0.9962500000000001,0.9837912014789795,0.9599245370749738
mvtec_wood,0.9271929824561403,0.9069415582656168,0.8907103683225399
mvtec_zipper,0.9884453781512605,0.9455447785396336,0.9316071667523034
Mean,0.95787187562727,0.9557952039582216,0.9455103759519756
