Row Names,instance_auroc,instance_prauc,instance_mcc,full_pixel_auroc,full_pixel_prauc,full_pixel_mcc,full_pixel_pro,anomaly_pixel_auroc,anomaly_pixel_prauc,anomaly_pixel_mcc,anomaly_pixel_pro
mvtec_bottle,1.0,0.9999999999999998,1.0,0.988260929028734,0.8403978041339791,0.8900888350077546,0.6974313326601863,0.9841478457492253,0.8404011160253332,0.8871128915254992,0.6013777874729438
mvtec_cable,0.9868815592203898,0.9918643654324816,0.9375286922183004,0.9814106588226646,0.73296461942232,0.8175611328619212,0.5840873398881826,0.9727942101232989,0.7383318939066909,0.8138185628418211,0.4098019757768019
mvtec_capsule,0.9896290386916633,0.9978086720229646,0.9331911439674256,0.991388220959175,0.49869834673755004,0.7824531055657331,0.3905497392730684,0.9896668010772086,0.4988760385593172,0.7818608790299754,0.26195014297289043
mvtec_carpet,0.9229534510433387,0.975692875559693,0.8391227637457672,0.9821408882180331,0.6219469540616827,0.8118238977941092,0.5001995149986372,0.9812218048037065,0.6286948018402816,0.8111454211651902,0.35419486803191624
mvtec_grid,0.9598997493734336,0.9838516730649309,0.9506282883828974,0.9727204644482077,0.26041440890523565,0.648200173275289,0.3817298487151177,0.9699036450985454,0.28810133444837255,0.6578234962870804,0.17206651518044638
mvtec_hazelnut,1.0,0.9999999999999998,1.0,0.9865678686343169,0.553751634209201,0.8011643789757119,0.6149220212141163,0.978901227555484,0.5541711248018848,0.7977111904000479,0.3948774619078975
mvtec_leather,0.9898097826086957,0.9967726875294352,0.9702318709130212,0.9927277234021039,0.5119056872474582,0.754699894597874,0.42342395562703083,0.9903603043458309,0.5120510027107761,0.7539418437889986,0.22287576627991118
mvtec_metal_nut,0.9941348973607038,0.9986936567171147,0.9735381201703621,0.9929202864973631,0.9624839745635769,0.9362786611844838,0.6667144080692459,0.9911219980423481,0.9628093718045365,0.933487064178684,0.58787265513939
mvtec_pill,0.9822695035460992,0.9969377813567303,0.9191228941120075,0.9859868809250623,0.8387331302209099,0.8774378058235699,0.45666294584444067,0.9843530441330236,0.8396848490426104,0.8764948973605511,0.36356533302142985
mvtec_screw,0.9391268702602993,0.9772005294462407,0.8646898674332026,0.9913696701390032,0.38096981668404606,0.6930367256489416,0.3691376047574583,0.9896107417976937,0.38279528166815413,0.6936671953929657,0.16394284406748524
mvtec_tile,0.98989898989899,0.997010403260403,0.9896513079338648,0.9732076568854023,0.6863282511395227,0.8451334599913738,0.665617370332714,0.9620238781221073,0.6865144108398112,0.8388092647203873,0.5342527658205656
mvtec_toothbrush,1.0,0.9999999999999999,1.0,0.9885639509075334,0.509844504666814,0.7858750119711329,0.419938603420358,0.9840009774559674,0.5099674204460631,0.7841888320847588,0.1879140447885011
mvtec_transistor,0.9995833333333333,0.9993826219512196,0.9897319658486504,0.9487799562000269,0.6956761720491708,0.829191398907464,0.3708091951827144,0.9218469309588203,0.7194126553082419,0.8198855616297749,0.34352883514970406
mvtec_wood,0.9938596491228069,0.9982455148499926,0.9832614889132659,0.9539426576714464,0.6023340919954772,0.7781157112276855,0.5315746386775585,0.9429319060562218,0.6037696791277943,0.7746429815594196,0.383239940925452
mvtec_zipper,0.9997373949579832,0.9999296777534541,0.9900706794262776,0.9917351467791189,0.754867622328057,0.8590324791015911,0.6316897499394973,0.9895361922323983,0.7549223981861239,0.858046780460363,0.5326483381585216
Mean,0.9831856146278491,0.9942260305963105,0.9560512722043363,0.9814481973012126,0.6300878012243334,0.8073395114623091,0.5136325512400218,0.9754947671701253,0.6347002252477328,0.8055091241617011,0.36760728497959044
