Row Names,instance_auroc,instance_prauc,instance_mcc,full_pixel_auroc,full_pixel_prauc,full_pixel_mcc,full_pixel_pro,anomaly_pixel_auroc,anomaly_pixel_prauc,anomaly_pixel_mcc,anomaly_pixel_pro
mvtec_bottle,1.0,0.9999999999999998,1.0,0.9882610491840375,0.840393982397007,0.8900885972784892,0.6974092998758726,0.9841480019223536,0.8403972868069784,0.8871123807895748,0.6013487601539274
mvtec_cable,0.9868815592203898,0.9918643654324816,0.9375286922183004,0.9814115016129281,0.7329594009701115,0.8175558587490663,0.5840672427382536,0.9727953849167632,0.7383273978060514,0.8138082563331237,0.40963069060095547
mvtec_capsule,0.9896290386916633,0.9978086720229646,0.9331911439674256,0.9913871428017683,0.49867977238413397,0.7824607212588135,0.39060879824905637,0.9896655996353371,0.4988575724972929,0.7818684994124023,0.2620216639346371
mvtec_carpet,0.9229534510433387,0.975692875559693,0.8391227637457672,0.9821538019522903,0.621961612727776,0.8118079763285835,0.500107263728079,0.9812302036380406,0.6286986595200308,0.8111272145658763,0.3540735938897218
mvtec_grid,0.9598997493734336,0.9838516730649309,0.9506282883828974,0.9727209160363374,0.26044162191849934,0.6482839285744522,0.38167802714621996,0.9699034043013017,0.288124370866482,0.6578523770227768,0.1718818643131545
mvtec_hazelnut,1.0,0.9999999999999998,1.0,0.9865669889463449,0.553734644253767,0.8010628145403809,0.6152386533304164,0.9788999091548799,0.5541547355469523,0.7976143152165696,0.3953750266620833
mvtec_leather,0.9898097826086957,0.9967726875294352,0.9702318709130212,0.9927280566365416,0.511894432506059,0.7540671159492923,0.4227047502711798,0.9903605693047511,0.5120395081672655,0.753314289531289,0.22190640253941624
mvtec_metal_nut,0.9941348973607038,0.9986936567171147,0.9735381201703621,0.9929203708076798,0.9624831355144547,0.936275628472772,0.6672291173801254,0.9911219730568724,0.9628083083589473,0.9334803845288449,0.5885091236420902
mvtec_pill,0.9822695035460992,0.9969377813567303,0.9191228941120075,0.9859897675491215,0.838760376633107,0.8774459638574024,0.4566489803447456,0.9843563179064948,0.8397121496796109,0.8765031342574645,0.3635487923232093
mvtec_screw,0.9395367903258866,0.9773359561709505,0.8646898674332026,0.991367172120215,0.3809801048158622,0.6929523578340115,0.367843332778023,0.9896075530446782,0.382805267200122,0.6926727859896152,0.15004145583599718
mvtec_tile,0.98989898989899,0.997010403260403,0.9896513079338648,0.9732093247596664,0.6863706055252735,0.8451154830835037,0.6655635282493428,0.9620266454927895,0.6865568005250647,0.8387921977085804,0.5341777714901558
mvtec_toothbrush,1.0,0.9999999999999999,1.0,0.9885642249809445,0.5098421090510562,0.7858649717696784,0.41987534750345595,0.984001281442337,0.5099649622537799,0.7841791508489555,0.18782548650483835
mvtec_transistor,0.9995833333333333,0.9993826219512196,0.9897319658486504,0.9487777560821862,0.695666215804383,0.8291471608953843,0.38097157219172173,0.9218423511645087,0.7194024577089645,0.8198987503239121,0.3435682702339589
mvtec_wood,0.9938596491228069,0.9982455148499926,0.9832614889132659,0.9539515467633136,0.6023758925431623,0.7781342529796443,0.5315820777444213,0.9429410884818188,0.6038103172489778,0.7746603612741503,0.38324973569682164
mvtec_zipper,0.9997373949579832,0.9999296777534541,0.9900706794262776,0.9917336987981489,0.7548169274968907,0.8590061304332077,0.6316543763324437,0.9895345234471418,0.7548717984971096,0.8580200254233682,0.532603452321
Mean,0.9832129426322216,0.9942350590446246,0.9560512722043363,0.9814495546021017,0.6300907223027694,0.8072845974669788,0.514212157857557,0.9754956537940046,0.6347021061789087,0.8053936082151002,0.36665080600946454
