Row Names,instance_auroc,full_pixel_auroc,anomaly_pixel_auroc
mvtec_bottle,1.0,0.9649597420506935,0.9527100411845901
mvtec_cable,0.9284107946026987,0.9527096443549676,0.9324226223736422
mvtec_capsule,0.8835261268448344,0.972360826482015,0.9671397569318934
mvtec_carpet,1.0,0.9901077014416045,0.9869210605580542
mvtec_grid,0.987468671679198,0.9456462007324884,0.9262198790874531
mvtec_hazelnut,0.9917857142857144,0.9853267216810985,0.977299174817668
mvtec_leather,1.0,0.9889231870842523,0.9850350632863787
mvtec_metal_nut,0.9965786901270772,0.9645841417932557,0.956402145935686
mvtec_pill,0.8933442444080741,0.9618573099808846,0.9580373631520087
mvtec_screw,0.906538225046116,0.9610714258056964,0.9529130874516513
mvtec_tile,0.9906204906204906,0.9358229935817816,0.9090811986824662
mvtec_toothbrush,1.0,0.9742681756474489,0.9644557845048832
mvtec_transistor,0.9508333333333333,0.9577906229834942,0.9236672455799879
mvtec_wood,0.9929824561403509,0.9141998019664159,0.8923177597845519
mvtec_zipper,0.993172268907563,0.9683737747150449,0.9599288304565534
Mean,0.9676840677330301,0.9625334846867428,0.949636734252498
