Row Names,instance_auroc,full_pixel_auroc,anomaly_pixel_auroc
mvtec_bottle,0.9992063492063492,0.9595419686214355,0.9454039945426492
mvtec_cable,0.9567091454272865,0.9603714164626644,0.9392586805345886
mvtec_capsule,0.8408456322297567,0.9709915075073436,0.965869997403827
mvtec_carpet,0.978330658105939,0.984571941899259,0.9796726283742917
mvtec_grid,0.9164578111946533,0.9091956705306137,0.8841911773425251
mvtec_hazelnut,0.9682142857142857,0.9867073454609491,0.9799833981012587
mvtec_leather,1.0,0.9685665660160355,0.9575329696511291
mvtec_metal_nut,0.9648093841642229,0.975068870468941,0.9699810470284783
mvtec_pill,0.892253136933988,0.9693148472209173,0.9652255019408387
mvtec_screw,0.6345562615290019,0.9171582327631346,0.9241048952201928
mvtec_tile,0.9888167388167388,0.9581803760201731,0.9405477325608053
mvtec_toothbrush,0.9722222222222223,0.9781383701323272,0.9695315631189269
mvtec_transistor,0.9224999999999999,0.9624987193603833,0.9254967360109474
mvtec_wood,0.962280701754386,0.9049891120058469,0.8864811509604268
mvtec_zipper,0.9390756302521008,0.8905039213963887,0.8657621464414847
Mean,0.9290851971700621,0.9530532577244276,0.939936241282158
