Row Names,instance_auroc,instance_prauc,instance_mcc,full_pixel_auroc,full_pixel_prauc,full_pixel_mcc,full_pixel_pro,anomaly_pixel_auroc,anomaly_pixel_prauc,anomaly_pixel_mcc,anomaly_pixel_pro
mvtec_bottle,1.0,0.9999999999999998,1.0,0.9865893344368528,0.8408834548065236,0.87302852636646,0.6823464561532895,0.9818951685649954,0.840893350038105,0.8695369211676744,0.5815040612813178
mvtec_cable,0.9820089955022488,0.9888234649752969,0.9253831058499515,0.9782311801768495,0.7355464510628532,0.8270596457256982,0.6265552319813751,0.9688488705640474,0.740439697699359,0.8232293337167126,0.43495909325446014
mvtec_capsule,0.9804547267650578,0.9955268460702498,0.9325169802621661,0.9918683312995686,0.5360125751241102,0.7855218896605702,0.36271121799438016,0.9902334292110029,0.5361660887682528,0.7849663357310501,0.22823743830512108
mvtec_carpet,0.9353932584269662,0.9801249999461623,0.8245848407403908,0.9877997386438021,0.7321800806016795,0.8452600431972643,0.5272888193178275,0.9862109073611034,0.7346243494508218,0.8442931453967315,0.3785706950582676
mvtec_grid,0.9741019214703425,0.9899685032972803,0.9506282883828974,0.9628916653417472,0.15986022422155294,0.6154765973280159,0.41429325614864726,0.9587216685381394,0.17682010039718374,0.6380460330203832,0.2455498107877145
mvtec_hazelnut,1.0,0.9999999999999998,1.0,0.9878434375527487,0.5739898982420673,0.8292814522326192,0.6051284849320508,0.9810873223578703,0.5743267973709855,0.8261887110797836,0.3794876191789371
mvtec_leather,0.9928668478260869,0.997628936720369,0.9688308753050999,0.9932898997137796,0.5409924874780371,0.7652372283957503,0.4164561704442789,0.9910111372988998,0.541097210589147,0.7645177321996283,0.21348440364228888
mvtec_metal_nut,0.9965786901270772,0.9992033259969878,0.9573422480136531,0.991031138413826,0.9562013808220031,0.9272681299278297,0.6344912077721745,0.9888591693485685,0.9567546782869303,0.9241090814975127,0.5480267622989257
mvtec_pill,0.9683578832515002,0.9944342175899796,0.8802933968503766,0.9755078239708137,0.8077805060507648,0.8636385352961571,0.4350201462436777,0.9735912583461499,0.80988746823593,0.8628339476070931,0.3501656815379823
mvtec_screw,0.8903463824554212,0.9592870840452901,0.7976980271287148,0.9747482976502454,0.3208396254628401,0.6726504814692138,0.34427660554197437,0.9717586911989717,0.32375368449650244,0.6724089081181723,0.12709939750606927
mvtec_tile,0.9873737373737373,0.9962262876109882,0.9796895254394519,0.9666288173426534,0.6380021278559138,0.8366882018491417,0.6514595448148696,0.9528943421499788,0.6382974030051876,0.8298628156505282,0.514532937420711
mvtec_toothbrush,1.0,0.9999999999999999,1.0,0.9895949186525329,0.5425187065071039,0.7997393420268378,0.43329879733966803,0.9854063057718782,0.5425631708696175,0.798178462480885,0.2066183162755352
mvtec_transistor,1.0,1.0,1.0,0.9593539549071922,0.714870926037692,0.8279487196177832,0.4010526899662632,0.9296340117319521,0.733821295144585,0.8160280600737472,0.3422092994849556
mvtec_wood,0.9464912280701754,0.9833186452187207,0.8573639298084984,0.9256336118737376,0.5603143289717933,0.7572631830956709,0.44273502866274334,0.9164621934848822,0.5683274081897927,0.754823605939021,0.3163015296697282
mvtec_zipper,0.9997373949579832,0.9999296777534541,0.9900706794262776,0.9915515527458068,0.7944812360311144,0.8634053625730238,0.6400185455708055,0.9893393529476591,0.7945449117942014,0.8624784796337075,0.5432168099259802
Mean,0.976914071081773,0.9922981326149852,0.9376267931471652,0.9775042468481437,0.63029826728507,0.8059644892508024,0.5078088135256017,0.97106358859174,0.6341545076224401,0.8047667715541756,0.3606642570418663
