Row Names,instance_auroc,full_pixel_auroc,anomaly_pixel_auroc
mvtec_bottle,1.0,0.9839752468553363,0.9783723847137784
mvtec_cable,0.9250374812593704,0.9706289486795963,0.9573582396901361
mvtec_capsule,0.8751495811727165,0.9813967813324238,0.9779016397065755
mvtec_carpet,0.9093097913322633,0.9885988717938013,0.985660556110456
mvtec_grid,0.8195488721804512,0.8761916484278688,0.8588636530303498
mvtec_hazelnut,0.9757142857142856,0.9804159452383567,0.9713991331041631
mvtec_leather,0.9996603260869565,0.9885923106393582,0.9845895024085596
mvtec_metal_nut,0.9208211143695014,0.9833957249694072,0.9797505966525658
mvtec_pill,0.9219858156028369,0.9778220175647603,0.9749891825396627
mvtec_screw,0.09715105554416889,0.8046655501743692,0.8615131349636449
mvtec_tile,0.9794372294372294,0.9632074923659738,0.9489367179126313
mvtec_toothbrush,0.9944444444444445,0.9845093546177395,0.9784191908547855
mvtec_transistor,0.9495833333333333,0.976740122236967,0.9505745965450082
mvtec_wood,0.9087719298245615,0.9157845029605095,0.9032485479685934
mvtec_zipper,0.8828781512605042,0.910973241002431,0.8962958908569385
Mean,0.8772995607708415,0.9524598505905932,0.9471915311371899
