Row Names,instance_auroc,full_pixel_auroc,anomaly_pixel_auroc
mvtec_bottle,0.9968253968253968,0.9795537217160475,0.9724449833753077
mvtec_cable,0.9651424287856072,0.9688898989828088,0.9529194159622932
mvtec_capsule,0.8468288791384124,0.9694437907636192,0.964263345781085
mvtec_carpet,0.8146067415730337,0.9533916815303336,0.9527936724565916
mvtec_grid,0.7368421052631579,0.8250779571563233,0.8197978362888548
mvtec_hazelnut,0.9814285714285714,0.9791681560128921,0.9682841065514782
mvtec_leather,0.9864130434782609,0.9854695490066764,0.9804468826846289
mvtec_metal_nut,0.9643206256109482,0.985447644449778,0.9822983430171996
mvtec_pill,0.8993453355155483,0.9780577355896075,0.9753315989358881
mvtec_screw,0.6886657101865137,0.8444562885235352,0.8340985905550736
mvtec_tile,0.9805194805194806,0.9239568178299564,0.8927434688528461
mvtec_toothbrush,0.9944444444444445,0.9831015039662667,0.9766149984422202
mvtec_transistor,0.9804166666666667,0.9812563663613332,0.9566472235955908
mvtec_wood,0.9631578947368421,0.91587374388305,0.894079046314385
mvtec_zipper,0.9789915966386554,0.9446390013844872,0.9320226663726778
Mean,0.9185299280541027,0.9478522571437811,0.9369857452790746
