Row Names,instance_auroc,full_pixel_auroc,anomaly_pixel_auroc
mvtec_bottle,1.0,0.984674959253425,0.9793187885715268
mvtec_cable,0.8249625187406298,0.9578264161476887,0.9448037847396678
mvtec_capsule,0.8591942560829677,0.9797355522938492,0.9760149096209857
mvtec_carpet,0.8651685393258426,0.9863299367167556,0.984217936298233
mvtec_grid,0.8771929824561404,0.8742719657410379,0.8549509959019274
mvtec_hazelnut,0.9996428571428572,0.9824457471341533,0.9733391781967146
mvtec_leather,0.9983016304347826,0.9905311164979185,0.9872138748998754
mvtec_metal_nut,0.9897360703812316,0.9860741115151703,0.9828731314896918
mvtec_pill,0.8968903436988545,0.9785192388528586,0.975759993252194
mvtec_screw,0.08854273416683747,0.8315700425535915,0.8998101719054756
mvtec_tile,0.9801587301587301,0.9650863968006922,0.9524519649596934
mvtec_toothbrush,0.986111111111111,0.9838111285312351,0.9774353037581065
mvtec_transistor,0.96,0.9760194271912048,0.9515075866902536
mvtec_wood,0.9473684210526316,0.922323364369522,0.9084402987485236
mvtec_zipper,0.9438025210084033,0.9321737866222721,0.9198857093408526
Mean,0.8811381810507347,0.955426212681425,0.9512015752249146
