Row Names,instance_auroc,full_pixel_auroc,anomaly_pixel_auroc
mvtec_bottle,1.0,0.9734878243690627,0.9642187425166934
mvtec_cable,0.9970014992503748,0.9708773007628263,0.9531328749046275
mvtec_capsule,0.9178300757877942,0.9743223004276437,0.96924210933272
mvtec_carpet,0.9815409309791332,0.9878248897021176,0.984127966881442
mvtec_grid,0.837092731829574,0.8915197810424702,0.8819322911885266
mvtec_hazelnut,0.9921428571428571,0.9846336735944611,0.9766303041521102
mvtec_leather,1.0,0.9878822350964415,0.9836287218831252
mvtec_metal_nut,0.9887585532746823,0.9822781136256525,0.9778269976395689
mvtec_pill,0.9304418985270049,0.9657013873295415,0.9614805602316087
mvtec_screw,0.8024185283869646,0.8026733266764957,0.7873678321569213
mvtec_tile,0.9862914862914863,0.958786468561427,0.9416704317132425
mvtec_toothbrush,0.9833333333333333,0.9785460643435661,0.9702932521348581
mvtec_transistor,0.9958333333333333,0.9830747107498242,0.9587810204371819
mvtec_wood,0.9140350877192982,0.9002673532618303,0.882448674584697
mvtec_zipper,0.9881827731092437,0.9379696525875492,0.9221986455283144
Mean,0.954326872597672,0.9519896721420607,0.9409986950190427
